domanda,rispostaA,rispostaB,rispostaC,corretta
La libertà personale è inviolabile e…,". È garantita dalla riserva di giurisdizione: può essere limitata con atto dell’autorità giudiziaria, anche privo di motivazione",". In casi di necessità e urgenza l’Autorità di P.S. può adottare provvedimenti provvisori, limitativi della libertà, che devono essere comunicati all’Autorità Giudiziaria per la convalida",. È garantita dalla riserva di legge ma non dalla riserva di giurisdizione: può essere limitata nei soli casi e modi previsti dalla legge,B
"Ai sensi dell’art. 13 Cost., la perquisizione locale d’iniziativa della P.G. per la ricerca di armi ed esplosivi (art. 41 TULPS):",. Può essere effettuata solo su ordine del PM,. Non è mai consentita,. Necessita di convalida dell’A.G. entro 48 ore,C
L’intercettazione telefonica:,. Può essere disposta liberamente dalla Polizia Giudiziaria,. Non è disciplinata dal codice di procedura penale,". Deve essere adottata dall’A.G. con provvedimento motivato, in quanto incide sulla libertà di comunicazione",C
La libertà di circolazione e di soggiorno può essere limitata:,. Solo dall’A.G. con atto motivato,. Dall’A.G. o dall’autorità amministrativa,. Solo in caso di arresto,B
Sono restrizioni della libertà personale previste dalla legge:,. Le perquisizioni e le ispezioni,". Le misure cautelari, cioè l’arresto e il fermo",. Misure precautelari e cautelari,C
Il preavviso alla pubblica autorità è richiesto per le riunioni:,. In luogo privato,. In luogo aperto al pubblico,. In luogo pubblico,C
Il diritto di manifestare liberamente il proprio pensiero:,. Non può essere esercitato se in contrasto con le opinioni religiose,. È garantito solo ai cittadini italiani,. Deve avvenire nel rispetto dell’onorabilità della persona,C
Le restrizioni alla libertà personale richiedono:,. Solo una riserva di legge,. Solo una riserva di giurisdizione,". Una doppia riserva, di legge e di giurisdizione",C
"Il Questore, in merito alle riunioni pubbliche:",. Non ha alcuna competenza,. Può vietare una riunione in via preventiva per comprovati motivi di sicurezza o incolumità pubblica,. Può autorizzare lo scioglimento di partiti politici,B
Durante le riunioni pubbliche il porto d’armi:,. È ammesso solo per gli agenti in borghese,. È ammesso solo se si possiede regolare licenza,". È assoluto, riguarda anche chi è munito di licenza per il porto",C
I principi fondamentali della Costituzione:,. Possono essere modificati con legge ordinaria,. Possono essere modificati con legge costituzionale,. Non possono essere modificati con la procedura di revisione costituzionale prevista dall’art. 138 della Costituzione,C
I diritti inviolabili dell’uomo:,. Sono riconosciuti solo ai cittadini italiani,. Sono disponibili se lo prevede la legge,". Sono indisponibili, intrasmissibili ed irrinunciabili",C
Il principio di uguaglianza:,. È rivolto solo ai cittadini italiani,. È rivolto a tutti i cittadini,. Si applica solo in ambito penale,B
L’eguaglianza formale:,. Si applica solo nei rapporti tra privati,. Si concretizza nella parità di trattamento innanzi alla Legge,. È prevista solo nel codice civile,B
Il principio personalista:,. Si realizza attraverso l’azione amministrativa dello Stato,. Si realizza attraverso il riconoscimento del valore del rispetto della persona,. È previsto solo per i cittadini italiani,B
I diritti fondamentali:,. Non sono riconosciuti in ambito internazionale,. Sono riconosciuti a livello internazionale,. Sono garantiti solo agli italiani,B
Il principio di uguaglianza:,". Si rivolge al legislatore, giudice ed amministratore pubblico",. Si rivolge solo ai cittadini,. È inapplicabile all’amministrazione,A
L’iniziativa legislativa popolare si esercita:,. Con il diritto di petizione e referendum,. Attraverso l’elettorato attivo,. Non è prevista nella nostra Costituzione,A
Il Consiglio d’Europa tutela i diritti dell’uomo:,. Solo in ambito commerciale,. Attraverso l’ONU,. Con la Convenzione europea per la salvaguardia dei diritti dell’uomo e delle libertà fondamentali stipulata nel 1950,C
La sovranità:,. Appartiene al Parlamento,. Appartiene al Governo,. Appartiene al popolo che la esercita nei limiti e forme previsti dalla Costituzione,C
L’amministrazione trasparente consente ai cittadini:,. Di conoscere e controllare l’operato della pubblica amministrazione,. Di fare ricorso contro ogni provvedimento,. Di accedere solo ai bilanci,A
L’accesso civico semplice può essere esercitato:,. Solo dal diretto interessato,". Da chiunque, senza motivazione",. Solo tramite avvocato,B
Il diritto di accesso documentale è riconosciuto:,". A chiunque abbia un interesse diretto, concreto e attuale",. A qualsiasi cittadino,. Solo ai dipendenti pubblici,A
Il FOIA (Freedom of Information Act) è stato introdotto in Italia con:,. La Costituzione,. Il D.lgs. 97/2016,. Il D.lgs. 33/2013,B
L’accesso civico generalizzato si distingue da quello semplice perché:,". Consente l’accesso a dati ulteriori, non obbligatoriamente pubblicati",. È riservato ai giornalisti,. Richiede l’autorizzazione del prefetto,A
L’accesso ai documenti amministrativi è regolato da:,. Legge 241/1990,. DPR 445/2000,. Legge 104/1992,A
Il rifiuto all’accesso deve essere sempre:,. Motivato,. Confermato dal giudice,. Orale,A
L’accesso agli atti può essere negato per:,". Esigenze di riservatezza, sicurezza e ordine pubblico",. Motivi economici,. Scarsa rilevanza,A
Il responsabile della trasparenza è:,. Una figura prevista dalla legge anticorruzione,. Il segretario comunale,. Il presidente dell’organo di controllo,A
L’accesso documentale deve essere esercitato entro:,. 30 giorni dalla conoscenza dell’atto,. 10 giorni dall’emissione,. 60 giorni dal protocollo,A
L’obbligo di motivazione dell’atto amministrativo è previsto da:,. Art. 3 della Legge 241/1990,. Art. 1 della Costituzione,. Codice civile,A
La motivazione dell’atto amministrativo deve indicare:,. I presupposti di fatto e le ragioni giuridiche della decisione,. Solo il nome del responsabile,. La firma del dirigente,A
La comunicazione di avvio del procedimento è prevista per garantire:,. La partecipazione degli interessati,. L’efficacia del provvedimento,. La pubblicità legale,A
Il responsabile del procedimento è:,. Colui che cura l’istruttoria e adotta il provvedimento finale,. Il dirigente dell’ufficio legale,. Un soggetto esterno,A
Il silenzio-assenso si verifica quando:,. L’amministrazione non risponde entro i termini previsti,. L’amministrazione esprime parere negativo,. Si convoca una conferenza di servizi,A
Il diritto di partecipazione al procedimento spetta:,. Ai soggetti direttamente interessati dall’atto,. Ai soli dipendenti pubblici,. Ai responsabili anticorruzione,A
Il preavviso di rigetto serve a:,. Consentire all’interessato di presentare osservazioni prima del provvedimento negativo,. Comunicare la decisione all’autorità gerarchica,. Attivare il giudizio ordinario,A
La conferenza di servizi è uno strumento per:,. Coordinare le diverse amministrazioni coinvolte,. Attribuire incarichi interni,. Valutare l’impatto ambientale,A
Il provvedimento finale deve essere:,. Notificato agli interessati,. Solo pubblicato in albo,. Registrato in segreteria,A
La validità del provvedimento amministrativo dipende:,. Dalla legittimità e dalla competenza dell’organo che lo emette,. Dalla durata dell’istruttoria,. Dal consenso dell’interessato,A
I provvedimenti amministrativi sono atti dotati:,. Di efficacia normativa,". Di efficacia esterna, tipici e nominati, destinati a modificare situazioni giuridiche in modo autoritativo",". Di efficacia interna, atipici e destinati a modificare situazioni giuridiche in modo non autoritativo",B
Il provvedimento amministrativo:,. Contiene norme generali e astratte,. Costituisce una fonte del diritto,. Dispone nei confronti di uno o più soggetti determinati o determinabili,C
L’esecutività del provvedimento amministrativo:,. È la capacità del provvedimento di produrre immediatamente effetti sul destinatario,. È la possibilità giuridica e di fatto di eseguire un provvedimento,". È l’idoneità del provvedimento ad essere coattivamente eseguito dalla PA, senza dover ricorrere ad un giudice",A
L’atto amministrativo annullabile:,. È immediatamente efficace e può essere caducato solo a seguito di tempestiva impugnazione giudiziale,. È insuscettibile di produrre effetti,. Non può essere sanato o convalidato,A
Il provvedimento amministrativo privo di elementi essenziali è:,. Nullo,. Irregolare,. Annullabile,A
L’eccesso di potere:,. È un vizio di merito dell’atto amministrativo,. È un vizio di legittimità dell’atto amministrativo,. È un vizio di legittimità dell’atto amministrativo per violazione di legge,B
Il ricorso gerarchico è un ricorso:,. In regime di autotutela,. Giurisdizionale,. Amministrativo,C
Il ricorso straordinario al Presidente della Repubblica è:,. Esperibile dopo la pronuncia del GA,. Esperibile nei casi in cui si ritiene il provvedimento impugnato viziato per motivi di merito,. Alternativo al ricorso davanti al GA,C
Di norma ci si rivolge al GA nel caso di lesione:,. Di un interesse legittimo,. Di un diritto assoluto,. Di un diritto soggettivo,A
Nel nostro ordinamento giuridico è giudice amministrativo di primo grado il:,. Consiglio di Stato,. Giudice di Pace,. TAR,C
L’attività della PA:,". Può essere discrezionale o vincolata, a seconda dei casi",. È sempre vincolata,. È sempre discrezionale,A
"La discrezionalità amministrativa, ossia la libera scelta dell’amministrazione:",. Implica l’individuazione da parte del privato del criterio che la PA dovrà seguire nell’effettuare una,". Implica l’individuazione di un criterio dato dalla comparazione di più interessi secondari, pubblici e privati, in ordine ad un interesse pubblico da perseguire",. Non richiede da parte della PA l’individuazione di un criterio da seguire nella scelta,B
"Quando la PA pone in essere valutazioni discrezionali, nell’operare il sacrificio degli interessi secondari occorre vengano rispettati i seguenti canoni di:",". Efficienza, imparzialità e buona amministrazione",". Rapidità, segretezza e buona amministrazione",". Efficienza, tassatività e parzialità",A
Il potere discrezionale della P.A. può intervenire sui seguenti aspetti:,". Chi, come, dove, quando",". Chi, cosa, come, dove",". Se, cosa, come, quando",C
La violazione dei limiti all’esercizio del potere discrezionale rende l’atto:,. Inopportuno,. Illegittimo,. Inqualificabile,B
La discrezionalità tecnica indica la facoltà della scelta della P.A.:,. Tra più soluzioni normative prospettabili in relazione all’adozione di un determinato provvedimento,. Tra più soluzioni politiche prospettabili in relazione all’adozione di un determinato provvedimento,. Tra più soluzioni tecniche prospettabili in relazione all’adozione di un determinato provvedimento,C
Viene accertato un illecito: la PA adotta automaticamente un ordine di demolizione. L’attività svolta è:,. Discrezionale,. Libera,. Vincolata,C
Il procedimento amministrativo è una sequenza:,". Di atti, attività e comportamenti",. Di prassi e comportamenti concludenti,. Esclusivamente di atti e attività,A
