Domanda,A,B,C,Corretta
La concussione è un reato,contro la P.A.,contro il patrimonio,contro l’incolumità pubblica,A
La concussione si realizza,simulando l’appartenenza alla P.A.,con artifizi o inganni,mediante abuso della qualità o dei poteri del pubblico ufficiale,C
"Il privato, nel caso di concussione:",è soggetto passivo del reato insieme alla P.A.,è concorrente nel reato,"è concorrente, ma subisce l’inflizione di una pena inferiore",A
Nella concussione il rapporto tra funzionario e soggetto passivo è retto da:,parità tra le parti,preminenza del pubblico ufficiale,sottile e velata pressione,B
La prestazione del pubblico ufficiale o dell'incaricato di pubblico servizio nella corruzione propria consiste:,nella prestazione di danaro o altra utilità,nell’esercizio dei poteri o delle funzioni,nell’adozione di un atto contrario ai doveri di ufficio ovvero nell’omissione o ritardo di un atto del proprio ufficio,C
Nell’induzione indebita il privato:,è persona offesa,non è punito,"è punito, ma con pena inferiore rispetto all’agente pubblico",C
Nella corruzione sono punibili:,solo pubblico ufficiale o incaricato di pubblico servizio,sia il privato che il pubblico ufficiale o incaricato di pubblico servizio,solo il privato,B
La concussione è:,un reato monosoggettivo a concorso eventuale,un reato a concorso necessario,un reato comune,A
Nel delitto di corruzione il tentativo:,non è ammissibile perché penalmente irrilevante,è ammissibile e si applica l’art. 56 c.p. secondo le regole generali,non è ammissibile perché opera l’art. 322 c.p. sull’istigazione alla corruzione,C
Nella corruzione impropria la prestazione del pubblico ufficiale consiste:,nell’esercizio del potere o delle funzioni,nell’omissione di un atto legittimo,in un atto illegittimo,A
