Domanda,A,B,C,Corretta
1 - La libertà personale è inviolabile e…,"È garantita dalla riserva di giurisdizione: può essere limitata con atto dell’autorità giudiziaria, anche privo di motivazione","In casi di necessità e urgenza l’Autorità di P.S. può adottare provvedimenti provvisori, limitativi della libertà, che devono essere comunicati all’Autorità Giudiziaria per la convalida",È garantita dalla riserva di legge ma non dalla riserva di giurisdizione: può essere limitata nei soli casi e modi previsti dalla legge,B
"2 - Ai sensi dell’art. 13 Cost., la perquisizione locale d’iniziativa della P.G. per la ricerca di armi ed esplosivi (art. 41 TULPS):",Può essere effettuata solo su ordine del PM,Non è mai consentita,Necessita di convalida dell’A.G. entro 48 ore,A
3 - L’intercettazione telefonica:,Può essere disposta liberamente dalla Polizia Giudiziaria,Non è disciplinata dal codice di procedura penale,"Deve essere adottata dall’A.G. con provvedimento motivato, in quanto incide sulla libertà di comunicazione",A
4 - La libertà di circolazione e di soggiorno può essere limitata:,Solo dall’A.G. con atto motivato,Dall’A.G. o dall’autorità amministrativa,Solo in caso di arresto,A
5 - Sono restrizioni della libertà personale previste dalla legge:,Le perquisizioni e le ispezioni,"Le misure cautelari, cioè l’arresto e il fermo",Misure precautelari e cautelari,B
6 - Il preavviso alla pubblica autorità è richiesto per le riunioni:,In luogo privato,In luogo aperto al pubblico,In luogo pubblico,A
7 - Il diritto di manifestare liberamente il proprio pensiero:,Non può essere esercitato se in contrasto con le opinioni religiose,È garantito solo ai cittadini italiani,Deve avvenire nel rispetto dell’onorabilità della persona,A
8 - Le restrizioni alla libertà personale richiedono:,Solo una riserva di legge,Solo una riserva di giurisdizione,"Una doppia riserva, di legge e di giurisdizione",B
"9 - Il Questore, in merito alle riunioni pubbliche:",Non ha alcuna competenza,Può vietare una riunione in via preventiva per comprovati motivi di sicurezza o incolumità pubblica,Può autorizzare lo scioglimento di partiti politici,B
10 - Durante le riunioni pubbliche il porto d’armi:,È ammesso solo per gli agenti in borghese,È ammesso solo se si possiede regolare licenza,"È assoluto, riguarda anche chi è munito di licenza per il porto",B
11 - I principi fondamentali della Costituzione:,Possono essere modificati con legge ordinaria,Possono essere modificati con legge costituzionale,Non possono essere modificati con la procedura di revisione costituzionale prevista dall’art. 138 della Costituzione,A
12 - I diritti inviolabili dell’uomo:,Sono riconosciuti solo ai cittadini italiani,Sono disponibili se lo prevede la legge,"Sono indisponibili, intrasmissibili ed irrinunciabili",A
13 - Il principio di uguaglianza:,È rivolto solo ai cittadini italiani,È rivolto a tutti i cittadini,Si applica solo in ambito penale,B
14 - L’eguaglianza formale:,Si applica solo nei rapporti tra privati,Si concretizza nella parità di trattamento innanzi alla Legge,È prevista solo nel codice civile,A
15 - Il principio personalista:,Si realizza attraverso l’azione amministrativa dello Stato,Si realizza attraverso il riconoscimento del valore del rispetto della persona,È previsto solo per i cittadini italiani,A
16 - I diritti fondamentali:,Non sono riconosciuti in ambito internazionale,Sono riconosciuti a livello internazionale,Sono garantiti solo agli italiani,B
17 - Il principio di uguaglianza:,"Si rivolge al legislatore, giudice ed amministratore pubblico",Si rivolge solo ai cittadini,È inapplicabile all’amministrazione,A
18 - L’iniziativa legislativa popolare si esercita:,Con il diritto di petizione e referendum,Attraverso l’elettorato attivo,Non è prevista nella nostra Costituzione,B
19 - Il Consiglio d’Europa tutela i diritti dell’uomo:,Solo in ambito commerciale,Attraverso l’ONU,on la Convenzione europea per la salvaguardia dei diritti dell’uomo e delle libertà fondamentali stipulata nel 1950,C
20 - La sovranità:,ppartiene al Parlamento,Appartiene al Governo,Appartiene al popolo che la esercita nei limiti e forme previsti dalla Costituzione,
21 - L’amministrazione trasparente consente ai cittadini:,Di conoscere e controllare l’operato della pubblica amministrazione,Di fare ricorso contro ogni provvedimento,Di accedere solo ai bilanci,A
22 - L’accesso civico semplice può essere esercitato:,Solo dal diretto interessato,"Da chiunque, senza motivazione",Solo tramite avvocato,A
23 - Il diritto di accesso documentale è riconosciuto:,"chiunque abbia un interesse diretto, concreto e attuale",A qualsiasi cittadino,Solo ai dipendenti pubblici,B
24 - Il FOIA (Freedom of Information Act) è stato introdotto in Italia con:,La Costituzione,Il D.lgs. 97/2016,Il D.lgs. 33/2013,A
25 - L’accesso civico generalizzato si distingue da quello semplice perché:,"Consente l’accesso a dati ulteriori, non obbligatoriamente pubblicati",È riservato ai giornalisti,Richiede l’autorizzazione del prefetto,C
26 - L’accesso ai documenti amministrativi è regolato da:,Legge 241/1990,DPR 445/2000,Legge 104/1992,A
27 - Il rifiuto all’accesso deve essere sempre:,Motivato,Confermato dal giudice,Orale,A
28 - L’accesso agli atti può essere negato per:,"Esigenze di riservatezza, sicurezza e ordine pubblico",Motivi economici,Scarsa rilevanza,A
29 - Il responsabile della trasparenza è:,Una figura prevista dalla legge anticorruzione,Il segretario comunale,Il presidente dell’organo di controllo,B
30 - L’accesso documentale deve essere esercitato entro:,30 giorni dalla conoscenza dell’atto,10 giorni dall’emissione,60 giorni dal protocollo,C
31 - L’obbligo di motivazione dell’atto amministrativo è previsto da:,rt. 3 della Legge 241/1990,Art. 1 della Costituzione,odice civile,
32 - La motivazione dell’atto amministrativo deve indicare:,I presupposti di fatto e le ragioni giuridiche della decisione,Solo il nome del responsabile,La firma del dirigente,A
33 - La comunicazione di avvio del procedimento è prevista per garantire:,La partecipazione degli interessati,L’efficacia del provvedimento,La pubblicità legale,A
34 - Il responsabile del procedimento è:,Colui che cura l’istruttoria e adotta il provvedimento finale,Il dirigente dell’ufficio legale,Un soggetto esterno,B
35 - Il silenzio-assenso si verifica quando:,L’amministrazione non risponde entro i termini previsti,L’amministrazione esprime parere negativo,Si convoca una conferenza di servizi,C
36 - Il diritto di partecipazione al procedimento spetta:,i soggetti direttamente interessati dall’atto,Ai soli dipendenti pubblici,Ai responsabili anticorruzione,
37 - Il preavviso di rigetto serve a:,Consentire all’interessato di presentare osservazioni prima del provvedimento negativo,Comunicare la decisione all’autorità gerarchica,Attivare il giudizio ordinario,A
38 - La conferenza di servizi è uno strumento per:,Coordinare le diverse amministrazioni coinvolte,Attribuire incarichi interni,Valutare l’impatto ambientale,A
39 - Il provvedimento finale deve essere:,Notificato agli interessati,Solo pubblicato in albo,Registrato in segreteria,B
